province,hospital_th,hospital_en,h_code,affiliation,hospital_type,beds,specialty_note,health_region
สกลนคร,โรงพยาบาลพระอาจารย์แบน ธนากโร,PRAARJANBAN TANAKARO HOSPITAL,21323,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),0.0,,8
กรุงเทพมหานคร,โรงพยาบาลบางปะกอก 9 อินเตอร์เนชั่นแนล,BANGPAKOK 9 INTERNATIONAL HOSPITAL,21339,เอกชน,รพ.เอกชน,170.0,,13
หนองคาย,โรงพยาบาลสระใคร,SAKHRAI HOSPITAL,21356,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30.0,,8
กรุงเทพมหานคร,โรงพยาบาลทันตกรรม คณะทันตแพทยศาสตร์  มหาวิทยาลัยมหิดล,DENTAL HOSPITAL FACULTY OF DENTISTRY MAHIDOL UNIVERSITY,21434,กระทรวงศึกษาธิการ,กระทรวงศึกษาธิการ,11.0,การศึกษา<br />การวิจัย<br />การบริการวิชาการ<br />การให้บริการทางทันตกรรม,13
กรุงเทพมหานคร,ศูนย์บริการสาธารณสุข 65 รักษาศุข บางบอน,PUBLIC HEALTH CENTER 65,21486,สังกัด กทม.,ศูนย์บริการสาธารณสุข,0.0,,13
กรุงเทพมหานคร,ศูนย์บริการสาธารณสุข 44 ลำผักชี หนองจอก,PUBLIC HEALTH CENTER 44,21526,สังกัด กทม.,ศูนย์บริการสาธารณสุข,0.0,,13
อ่างทอง,โรงพยาบาลอ่างทองเวชการ,ANGTHONGVECHAKARN HOSPITAL,21598,เอกชน,รพ.เอกชน,0.0,,4
ชลบุรี,สถานพยาบาลเมดิคอลเวชการ,,21610,เอกชน,รพ.เอกชน,0.0,,6
สุราษฎร์ธานี,โรงพยาบาลไทยอินเตอร์เนชั่นแนล,PHRASEANG HOSPITAL,21614,เอกชน,รพ.เอกชน,0.0,,11
สุราษฎร์ธานี,โรงพยาบาลกรุงเทพสมุย,BANGKOK HOSPITAL SAMUI,21615,เอกชน,รพ.เอกชน,0.0,,11
กรุงเทพมหานคร,ซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่,CGH HOSPITAL,21673,เอกชน,รพ.เอกชน,100.0,,13
กรุงเทพมหานคร,ศูนย์บริการสาธารณสุข 66 ตำหนักพระแม่กวนอิม โชคชัย 4,PUBLIC HEALTH CENTER 66 KUAN-IM BODHISATTAVA'S HALL CHOKCHAI 4,21748,สังกัด กทม.,ศูนย์บริการสาธารณสุข,0.0,,13
กรุงเทพมหานคร,ศูนย์บริการสาธารณสุข 45 ร่มเกล้า ลาดกระบัง,PUBLIC HEALTH CENTER 45 ROMKLAO LADKRABANG,21755,สังกัด กทม.,ศูนย์บริการสาธารณสุข,0.0,,13
นครศรีธรรมราช,โรงพยาบาลเทศบาลนครนครศรีธรรมราช,,21771,องค์การปกครองส่วนท้องถิ่น (อปท.),องค์การปกครองส่วนท้องถิ่น (อปท.),0.0,,11
กาญจนบุรี,โรงพยาบาลห้วยกระเจาเฉลิมพระเกียรติ ๘๐ พรรษา,HUAIKRACHAO HOSPITAL,21948,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30.0,เวชศาสตร์ครอบครัวและชุมชน,5
อุบลราชธานี,โรงพยาบาล ๕๐ พรรษา มหาวชิราลงกรณ,THE 5Oth ANNIVERSARY MAHAVAJIRALONGKORN HOSPITAL,21984,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),150.0,,10
นนทบุรี,โรงพยาบาลชลลดา,,22127,เอกชน,รพ.เอกชน,0.0,,4
ปราจีนบุรี,โรงพยาบาลโสธรเวช 304,,22178,เอกชน,รพ.เอกชน,0.0,,6
นนทบุรี,โรงพยาบาลกรุงไทย,KRUNGTHAI GENERAL HOSPITAL,22179,เอกชน,รพ.เอกชน,100.0,,4
สุรินทร์,โรงพยาบาลพนมดงรักเฉลิมพระเกียรติ ๘๐ พรรษา,PHANOMDONGRAK CHALEARMPRAKEAT HOSPITAL,22302,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),37.0,,9
สมุทรปราการ,โรงพยาบาลวิภาราม-ชัยปราการ,VIBHARAM CHAIPRAKARN HOSPITAL,22326,เอกชน,รพ.เอกชน,101.0,,6
กรุงเทพมหานคร,สถานพยาบาลเดอะซีเนียร์ สาขารัชดาภิเษก,,22339,เอกชน,รพ.เอกชน,0.0,,13
กรุงเทพมหานคร,สถานพยาบาลภัสรพิบาลเนอสซิ่งโฮม,,22340,เอกชน,รพ.เอกชน,0.0,,13
